Temperature,Humidity,Soil Moisture,pH,N,P,K,Crop
26.4,35.4,416,7.23,57,27,43,Millet
32.0,71.2,530,7.02,32,65,39,Soybean
20.2,48.9,308,6.77,72,31,43,Maize
29.7,86.4,531,5.75,99,27,61,Rice
25.1,53.4,406,6.79,60,54,61,Wheat
28.2,59.4,390,6.48,63,29,22,Millet
22.2,54.0,409,5.93,41,40,49,Groundnut
28.1,79.6,375,6.33,87,40,33,Maize
31.0,64.0,369,7.2,83,43,74,Cotton
19.1,39.4,376,7.52,20,28,54,Chickpea
22.5,82.8,528,7.43,97,62,90,Sugarcane
21.9,68.9,399,6.68,63,24,37,Wheat
22.9,71.3,450,6.43,147,61,100,Sugarcane
24.7,79.6,366,6.55,90,34,54,Maize
32.8,55.6,400,6.84,31,31,22,Millet
29.5,91.3,564,6.31,107,59,63,Rice
21.3,66.0,517,5.84,60,34,92,Tomato
21.8,61.2,501,6.38,60,65,50,Tomato
24.5,69.3,292,6.63,71,55,28,Barley
15.5,67.1,454,6.33,56,53,42,Barley
29.4,38.4,292,6.89,59,26,37,Chickpea
26.1,64.3,406,7.86,34,50,47,Chickpea
22.1,73.8,392,5.34,94,40,62,Potato
30.7,72.9,471,5.81,107,47,70,Rice
25.4,50.3,437,5.93,52,33,54,Millet
30.8,73.6,352,6.56,53,44,62,Cotton
27.3,32.6,232,6.84,33,29,40,Millet
37.8,56.9,262,6.29,110,44,35,Cotton
20.6,56.5,467,6.62,28,42,62,Soybean
33.8,67.1,403,6.44,72,38,47,Cotton
27.0,63.9,305,6.69,36,37,56,Soybean
24.0,83.3,333,6.39,58,74,83,Potato
27.0,41.7,463,7.49,50,38,64,Wheat
19.0,57.2,296,6.08,78,34,26,Wheat
20.1,65.1,368,6.6,60,66,80,Soybean
31.6,73.2,652,6.0,66,53,31,Rice
21.5,64.4,376,6.28,68,40,59,Barley
18.4,75.2,489,5.18,105,62,63,Potato
30.4,59.8,407,6.35,31,44,41,Groundnut
28.0,53.4,408,6.04,120,35,36,Maize
22.6,49.8,356,6.11,72,49,37,Barley
21.4,38.1,205,7.75,28,42,47,Chickpea
30.9,77.8,464,7.4,136,34,114,Sugarcane
32.3,59.6,440,6.63,44,28,57,Millet
27.0,60.9,530,6.67,76,51,41,Maize
29.0,62.9,547,6.04,83,48,65,Sugarcane
32.9,48.8,283,5.53,56,44,37,Millet
36.9,65.1,485,7.61,78,52,66,Cotton
23.3,59.6,392,6.86,20,38,54,Groundnut
18.3,56.3,516,7.24,65,26,25,Wheat
22.1,73.4,355,5.75,120,47,58,Rice
24.5,89.6,709,6.54,112,62,64,Sugarcane
18.5,55.8,372,7.41,79,22,63,Wheat
20.5,74.7,395,5.63,92,50,87,Tomato
25.3,50.0,239,6.5,36,26,49,Millet
16.5,45.2,540,6.88,88,26,31,Wheat
23.0,59.2,290,6.46,46,37,70,Groundnut
30.0,42.7,282,7.39,60,58,82,Cotton
28.5,56.6,450,7.36,60,41,44,Millet
31.3,32.8,431,6.18,22,27,23,Millet
20.5,57.1,343,6.58,53,46,60,Barley
27.8,54.6,334,6.33,42,56,53,Groundnut
36.4,54.8,441,6.18,70,31,73,Cotton
33.3,77.4,735,6.41,82,66,111,Sugarcane
25.3,59.5,544,7.23,98,36,51,Wheat
19.6,39.2,447,6.37,22,41,28,Chickpea
21.4,42.9,256,7.04,66,33,33,Wheat
34.7,56.1,305,6.12,68,34,55,Millet
22.7,56.5,315,5.99,29,36,46,Groundnut
35.5,63.8,469,7.15,57,52,44,Cotton
23.1,67.6,520,6.5,125,59,107,Sugarcane
24.9,70.5,358,7.42,54,68,43,Soybean
29.5,62.5,430,6.35,65,26,31,Millet
19.7,73.1,533,5.64,82,39,98,Tomato
29.5,90.8,496,6.66,74,47,39,Rice
32.4,80.6,547,7.03,126,64,120,Sugarcane
24.9,52.1,355,6.63,47,27,51,Groundnut
22.6,70.3,326,6.52,67,60,79,Soybean
20.4,75.3,551,6.46,86,51,75,Maize
24.7,63.6,361,7.31,30,41,28,Chickpea
26.5,68.1,583,6.72,101,44,116,Sugarcane
24.5,84.4,395,6.6,92,33,96,Potato
25.2,40.0,392,6.48,35,42,37,Millet
22.7,82.6,631,5.92,99,32,33,Rice
18.9,41.9,296,6.55,94,41,30,Wheat
22.5,79.3,421,5.86,98,74,77,Potato
29.2,73.3,494,6.69,34,27,48,Groundnut
18.3,64.6,309,6.9,50,36,33,Barley
21.4,69.9,519,6.7,108,65,57,Potato
20.0,57.7,522,5.94,99,38,53,Tomato
28.0,59.6,332,6.51,51,37,47,Tomato
26.2,33.5,337,6.26,70,34,20,Millet
21.0,63.0,340,6.5,54,69,95,Tomato
26.5,57.0,584,6.89,38,45,63,Soybean
19.3,52.9,307,7.44,88,30,32,Barley
21.0,54.6,424,6.16,43,29,44,Chickpea
20.2,44.2,544,6.82,60,33,27,Wheat
27.6,68.2,710,6.45,131,33,88,Sugarcane
14.5,51.1,330,7.04,80,41,32,Barley
28.4,60.3,426,6.43,31,43,44,Chickpea
27.7,36.5,202,6.77,54,57,33,Chickpea
35.3,65.6,310,5.76,106,36,81,Cotton
29.6,48.2,428,7.36,46,57,69,Chickpea
31.8,62.8,402,6.25,60,50,53,Millet
31.1,67.3,321,6.49,35,28,39,Groundnut
28.5,60.9,273,5.94,55,34,45,Groundnut
25.7,54.3,311,6.48,39,37,48,Millet
22.7,64.4,530,6.67,59,28,44,Wheat
27.9,63.9,450,5.99,48,39,57,Millet
24.3,57.3,380,6.28,99,54,80,Tomato
21.3,58.9,543,6.95,58,68,78,Tomato
22.1,63.0,225,6.42,36,39,65,Chickpea
16.4,49.7,325,6.74,95,33,58,Wheat
22.2,60.4,380,6.47,47,46,43,Groundnut
19.7,72.5,439,6.93,51,67,86,Tomato
27.1,47.2,420,5.67,48,27,38,Millet
18.3,71.7,429,6.79,77,49,92,Tomato
31.9,78.8,333,7.23,49,42,51,Soybean
21.3,52.7,511,6.14,59,44,83,Tomato
20.3,66.0,366,6.21,96,33,80,Maize
23.2,36.9,400,7.43,52,23,42,Barley
23.4,66.0,322,6.88,69,58,48,Soybean
21.7,58.4,282,6.26,57,48,26,Barley
28.5,73.3,557,6.66,72,67,70,Maize
21.6,71.3,597,7.01,63,49,59,Maize
27.4,92.3,430,6.57,119,36,48,Rice
17.7,79.7,513,5.72,54,60,111,Potato
24.1,74.3,501,6.14,57,50,70,Tomato
20.5,62.5,504,5.5,110,35,112,Potato
25.6,56.9,540,6.8,62,41,68,Wheat
24.5,70.2,562,7.12,42,56,47,Soybean
29.4,52.8,300,7.6,54,43,33,Chickpea
34.9,82.7,629,6.04,129,57,63,Sugarcane
31.5,77.8,481,6.66,144,30,60,Sugarcane
24.5,55.8,346,6.6,25,48,60,Groundnut
26.6,87.4,673,5.77,68,29,70,Rice
37.7,74.8,373,7.99,88,59,35,Cotton
35.6,41.1,435,5.88,98,30,39,Cotton
18.9,57.0,306,7.32,45,35,34,Chickpea
31.2,68.1,557,6.44,33,36,70,Soybean
20.7,57.2,352,6.92,51,51,31,Wheat
18.8,57.9,383,6.86,79,44,90,Tomato
26.1,80.2,644,5.61,80,29,53,Rice
22.8,68.6,367,6.62,61,27,55,Wheat
23.6,76.0,536,6.69,52,41,78,Soybean
36.2,56.1,262,7.72,93,48,51,Cotton
25.5,73.7,438,6.86,56,64,62,Soybean
21.4,66.8,477,6.43,87,31,40,Maize
19.9,43.9,284,7.2,76,35,34,Barley
18.6,46.4,331,6.79,52,60,49,Chickpea
19.4,48.0,493,6.74,50,55,38,Barley
19.6,65.7,340,6.74,102,48,96,Potato
18.8,61.9,332,6.29,92,59,113,Potato
28.6,63.6,413,6.1,51,45,33,Millet
36.3,51.0,338,6.21,57,43,52,Cotton
29.6,62.4,475,6.41,150,64,60,Sugarcane
19.7,79.0,418,6.09,69,64,82,Tomato
29.8,43.1,336,5.93,66,37,43,Millet
24.0,76.6,612,7.14,101,54,76,Sugarcane
23.0,70.8,358,6.84,33,58,39,Groundnut
22.3,56.9,407,6.87,89,45,33,Wheat
37.6,64.1,312,7.8,107,58,71,Cotton
23.1,61.4,442,7.43,44,53,41,Chickpea
24.3,72.7,361,6.3,79,38,68,Wheat
22.1,76.2,316,5.77,70,68,42,Tomato
20.2,51.5,444,5.76,66,55,83,Tomato
24.4,68.2,739,6.58,148,33,82,Sugarcane
26.8,45.2,322,7.84,60,48,37,Chickpea
21.4,74.2,375,5.59,56,48,52,Potato
22.5,81.9,621,5.74,92,30,36,Rice
24.0,61.0,351,7.79,91,39,43,Cotton
35.3,51.7,375,7.34,84,41,77,Cotton
24.0,57.1,509,5.88,93,50,84,Tomato
23.5,81.2,539,6.06,108,29,61,Rice
19.7,69.5,320,6.55,60,67,117,Potato
32.0,74.2,721,6.1,138,52,88,Sugarcane
18.8,46.8,310,6.04,80,27,38,Wheat
15.0,71.2,465,5.18,89,67,84,Potato
25.9,63.6,368,6.8,38,47,40,Soybean
29.7,31.6,284,7.24,46,39,38,Millet
25.6,49.7,472,5.71,60,58,48,Groundnut
26.7,62.9,309,6.79,56,36,55,Groundnut
20.8,49.5,333,5.98,119,66,44,Maize
23.6,73.0,458,7.07,98,38,52,Maize
20.3,52.0,514,5.93,52,31,85,Tomato
34.4,68.7,451,6.81,64,37,58,Cotton
26.4,46.3,299,6.71,87,36,60,Wheat
16.7,49.8,381,6.02,47,31,62,Wheat
17.4,70.7,462,5.08,89,47,69,Potato
23.2,71.5,463,5.7,112,50,48,Rice
31.2,73.6,533,6.88,121,31,65,Sugarcane
28.2,47.2,349,6.92,113,40,76,Maize
28.9,78.4,483,6.06,81,57,67,Tomato
17.7,82.4,525,5.8,68,55,70,Potato
23.9,71.7,688,5.84,78,30,39,Rice
24.2,72.1,561,6.47,131,47,81,Sugarcane
33.0,42.4,355,7.14,52,30,59,Millet
21.1,66.0,491,6.7,64,50,44,Soybean
25.5,71.1,380,6.22,27,59,52,Soybean
26.3,62.5,284,6.82,64,41,20,Millet
21.9,52.0,545,7.14,77,37,56,Maize
22.3,66.7,595,6.86,96,63,42,Maize
34.6,67.5,470,6.35,111,32,59,Sugarcane
18.2,83.5,436,5.75,81,76,109,Potato
25.7,67.4,417,6.5,102,42,90,Cotton
18.8,62.1,506,5.16,91,72,60,Potato
21.0,63.3,303,6.25,51,55,50,Wheat
22.4,73.1,666,6.1,91,46,95,Sugarcane
26.2,65.1,432,6.03,63,39,50,Maize
26.3,69.9,483,6.04,66,55,75,Soybean
20.8,60.0,302,5.98,67,43,86,Tomato
34.7,40.7,430,6.01,92,41,53,Cotton
26.6,49.7,343,6.21,93,52,44,Maize
34.5,72.4,420,6.2,56,38,70,Cotton
26.1,67.9,425,6.35,59,34,78,Soybean
31.0,73.5,413,6.38,84,47,52,Rice
24.0,46.1,289,7.11,85,51,32,Wheat
28.2,78.4,425,6.01,64,57,66,Soybean
34.1,54.7,333,7.43,51,36,35,Millet
24.3,72.8,555,6.21,87,47,71,Potato
18.3,66.6,530,6.98,91,50,85,Tomato
19.8,60.4,369,6.38,59,25,61,Wheat
21.1,78.1,392,6.61,88,67,106,Potato
21.7,50.1,241,6.88,28,45,37,Chickpea
25.6,41.3,425,6.77,78,45,37,Cotton
34.3,67.7,653,6.43,116,48,83,Sugarcane
28.0,55.0,338,6.39,58,45,47,Soybean
21.6,61.5,334,6.09,74,45,55,Potato
23.8,89.2,660,7.37,116,47,81,Sugarcane
26.9,64.6,362,6.14,37,51,25,Chickpea
30.6,33.6,398,7.0,28,32,28,Millet
21.4,63.1,296,6.33,48,20,34,Wheat
27.6,55.6,520,5.54,95,55,43,Tomato
20.8,59.7,580,6.83,89,31,78,Maize
28.5,37.0,431,6.71,35,32,26,Chickpea
30.7,39.6,278,5.79,59,41,21,Millet
19.2,49.7,484,7.38,40,53,51,Wheat
31.7,64.5,264,6.28,34,46,44,Groundnut
31.4,75.7,500,6.41,146,49,101,Sugarcane
14.4,37.2,456,6.16,75,24,38,Barley
24.1,33.4,231,5.57,20,29,55,Millet
28.5,56.0,306,6.87,25,30,48,Groundnut
18.5,38.1,318,7.21,47,38,42,Barley
29.9,87.6,690,6.77,129,67,67,Sugarcane
37.1,47.2,430,7.34,72,39,63,Cotton
26.5,54.7,377,6.41,61,38,53,Wheat
22.7,45.8,273,6.45,58,49,58,Wheat
27.1,51.2,280,6.03,51,48,58,Groundnut
27.7,70.1,352,6.35,79,58,33,Maize
30.8,92.8,670,6.52,95,56,28,Rice
17.4,54.0,483,6.41,64,50,51,Wheat
23.8,41.1,477,6.9,64,36,63,Barley
23.2,47.5,467,7.25,53,54,69,Wheat
23.3,91.3,525,6.84,108,28,27,Rice
35.3,45.6,282,6.94,74,54,35,Cotton
23.5,74.4,617,6.95,77,59,55,Rice
23.3,36.3,289,6.11,48,32,45,Barley
22.5,78.2,513,6.14,87,30,53,Tomato
29.4,66.1,443,7.29,30,46,59,Soybean
33.0,67.6,626,6.53,111,47,107,Sugarcane
32.5,58.3,446,6.35,100,33,56,Cotton
25.6,67.1,493,6.28,83,37,93,Tomato
21.9,67.7,255,6.95,69,43,37,Barley
19.2,43.7,419,6.9,75,29,55,Barley
29.0,69.1,349,6.12,60,44,62,Tomato
26.0,48.6,253,6.92,102,51,44,Cotton
27.3,72.0,252,6.63,42,22,55,Wheat
32.6,34.3,292,5.82,61,21,28,Millet
27.3,55.7,335,7.46,91,32,33,Wheat
28.6,70.6,357,6.04,110,40,62,Rice
28.7,78.7,486,6.63,149,35,91,Sugarcane
19.6,49.7,262,6.94,81,23,61,Barley
31.9,55.5,307,6.13,56,36,32,Groundnut
25.8,52.9,486,6.49,59,49,44,Tomato
19.6,62.8,215,7.11,25,41,69,Chickpea
24.8,45.8,456,6.03,54,28,38,Wheat
21.5,58.0,527,6.54,93,43,51,Tomato
19.1,64.7,518,7.15,76,34,67,Wheat
19.1,37.4,355,7.21,85,36,26,Barley
25.0,73.1,508,6.23,65,31,53,Tomato
20.1,76.1,302,6.63,84,41,62,Tomato
27.3,87.9,732,7.09,118,43,110,Sugarcane
23.5,78.4,504,6.37,97,31,45,Tomato
22.1,61.8,396,6.32,49,48,63,Chickpea
25.5,66.9,324,7.44,39,49,63,Soybean
24.6,47.3,312,6.39,39,53,66,Groundnut
24.7,68.9,464,6.98,133,35,97,Sugarcane
23.4,52.3,566,6.15,69,64,77,Soybean
34.3,78.9,530,6.53,127,48,55,Sugarcane
29.3,61.6,365,6.41,27,39,53,Groundnut
22.1,80.3,393,6.59,95,40,61,Rice
27.0,56.8,492,7.2,81,28,55,Wheat
29.3,60.6,258,6.31,56,47,90,Cotton
29.8,84.1,398,6.84,118,27,39,Rice
29.3,56.3,535,6.91,57,45,46,Tomato
27.7,70.0,564,7.44,52,58,72,Soybean
29.5,47.1,318,6.36,51,35,51,Millet
26.8,63.4,256,5.51,27,20,44,Millet
27.6,35.1,276,7.76,22,38,35,Chickpea
25.6,75.5,503,6.76,105,54,75,Maize
23.8,59.5,292,7.17,68,50,64,Barley
29.9,64.9,531,6.9,128,35,62,Sugarcane
24.5,35.2,437,5.73,53,24,34,Millet
20.8,51.7,372,7.11,68,35,41,Maize
33.4,83.6,645,7.48,99,55,96,Sugarcane
28.5,45.6,434,6.91,34,30,58,Chickpea
31.3,59.8,297,7.23,20,38,36,Millet
20.1,52.6,416,6.93,72,54,58,Barley
27.3,77.4,640,6.7,124,48,68,Sugarcane
28.3,46.9,238,6.57,59,43,59,Chickpea
21.9,61.9,221,7.0,30,53,35,Chickpea
24.8,72.0,522,5.89,108,32,72,Maize
24.6,47.0,322,5.59,35,29,52,Groundnut
26.6,60.5,400,6.74,33,29,38,Groundnut
21.5,48.8,580,6.37,81,70,35,Maize
17.2,77.8,446,5.06,53,37,52,Potato
30.3,38.0,378,7.34,21,40,43,Millet
19.8,51.6,314,6.33,67,31,91,Tomato
24.8,38.5,376,7.09,35,33,25,Chickpea
27.4,53.6,419,7.44,28,25,37,Chickpea
22.2,78.2,486,6.27,67,36,72,Maize
26.2,61.6,436,6.59,84,41,45,Wheat
24.7,83.7,622,6.27,143,53,81,Sugarcane
21.9,65.0,411,6.67,91,67,73,Potato
31.2,61.0,269,5.93,44,43,58,Groundnut
25.8,49.4,266,7.03,28,33,36,Millet
21.5,62.8,481,6.39,106,69,58,Maize
23.0,52.1,345,6.68,70,52,76,Tomato
23.6,64.5,543,7.18,51,49,62,Wheat
21.2,75.9,507,6.49,41,59,42,Soybean
18.0,40.4,295,7.36,93,51,34,Wheat
31.7,74.3,666,6.19,104,48,30,Rice
34.3,70.8,318,6.74,60,38,57,Cotton
24.1,89.7,569,7.4,107,52,53,Sugarcane
24.6,63.1,439,7.21,56,35,56,Wheat
26.8,61.5,374,7.44,83,40,49,Wheat
23.9,71.2,551,6.64,36,54,54,Soybean
25.4,70.9,263,6.3,90,29,47,Cotton
25.7,89.8,357,5.9,67,54,48,Rice
26.6,69.9,460,6.48,51,57,50,Soybean
27.0,53.7,457,6.21,52,68,49,Soybean
34.8,37.1,260,5.51,50,42,43,Millet
25.9,53.4,332,6.67,58,26,32,Groundnut
27.8,63.9,324,7.26,84,38,38,Wheat
20.9,41.1,493,6.17,70,49,35,Wheat
29.6,62.6,441,7.13,93,44,49,Maize
16.8,78.0,395,6.04,90,61,81,Potato
30.8,32.7,410,6.48,22,31,29,Millet
17.7,62.8,512,6.03,89,20,55,Wheat
19.0,65.3,367,6.14,81,30,38,Barley
34.1,30.0,417,6.55,24,36,54,Millet
32.3,58.8,307,7.43,43,44,25,Millet
26.2,52.0,458,6.54,65,66,94,Tomato
26.8,51.8,385,6.45,21,53,50,Chickpea
21.2,47.7,354,6.61,50,51,70,Chickpea
21.7,42.3,432,6.27,89,24,35,Barley
23.1,62.1,336,5.06,71,32,69,Potato
29.9,69.6,264,6.61,95,28,55,Cotton
17.0,67.0,454,5.43,74,71,60,Potato
26.5,56.6,288,6.01,50,25,56,Chickpea
20.0,62.1,471,6.47,64,27,59,Wheat
29.5,48.3,289,6.27,65,34,36,Millet
21.4,54.7,334,6.64,83,67,60,Maize
25.0,38.1,430,6.33,20,33,37,Chickpea
26.4,65.9,472,6.97,100,24,68,Wheat
14.7,44.8,456,6.3,60,49,26,Barley
13.2,36.5,277,6.85,66,50,33,Barley
29.0,60.5,532,6.14,114,61,65,Sugarcane
29.4,71.2,358,6.99,35,60,38,Soybean
25.1,59.2,474,6.25,85,52,83,Tomato
25.9,66.8,338,6.61,56,47,64,Groundnut
26.3,62.8,656,6.86,129,56,98,Sugarcane
19.7,37.4,216,7.77,53,39,47,Chickpea
27.6,50.3,363,6.33,78,41,71,Cotton
23.9,60.6,548,6.36,99,35,52,Maize
24.2,62.0,533,6.61,27,68,74,Soybean
24.0,63.4,415,6.39,89,24,42,Wheat
26.1,67.3,359,7.29,81,34,68,Wheat
22.4,51.6,320,5.99,86,51,32,Maize
15.4,62.2,576,6.35,74,75,82,Potato
21.0,64.1,401,5.94,95,51,80,Potato
26.5,45.3,329,6.47,102,55,37,Cotton
21.1,78.1,392,5.11,93,79,111,Potato
22.4,74.1,523,7.37,85,64,98,Sugarcane
28.6,72.6,586,6.08,134,70,112,Sugarcane
24.6,72.5,309,7.41,107,57,41,Cotton
32.9,64.7,323,7.33,56,36,67,Cotton
24.1,61.4,544,7.19,90,25,64,Wheat
24.2,50.2,424,7.36,42,26,58,Chickpea
31.1,64.2,625,6.27,119,52,72,Sugarcane
33.4,36.7,355,6.71,63,45,51,Millet
12.6,49.0,363,7.43,68,43,31,Barley
32.3,47.3,380,7.32,47,42,45,Millet
23.6,35.6,392,6.25,53,36,70,Chickpea
20.3,42.8,253,6.37,75,37,64,Wheat
19.7,41.9,364,7.27,61,55,64,Wheat
22.2,82.3,495,6.48,126,68,58,Sugarcane
21.0,69.5,260,7.37,44,22,27,Barley
27.1,72.2,317,5.91,49,28,55,Groundnut
33.8,37.9,227,7.09,37,49,24,Millet
27.2,64.9,282,6.76,90,50,88,Cotton
30.7,35.2,417,5.91,30,44,55,Millet
31.9,57.1,257,5.51,24,43,49,Groundnut
28.2,58.5,422,5.54,55,39,43,Groundnut
24.4,50.2,377,6.85,108,49,57,Maize
25.9,46.4,446,6.97,102,57,40,Cotton
23.2,55.5,201,7.36,56,44,38,Chickpea
28.5,79.9,578,7.08,60,49,48,Maize
20.5,50.7,493,6.11,82,35,27,Barley
16.4,45.2,355,6.78,81,34,62,Barley
26.5,52.3,381,7.77,54,52,67,Chickpea
31.3,69.0,252,6.29,61,34,65,Cotton
28.9,63.4,253,6.56,70,36,60,Millet
28.6,69.6,358,6.38,118,34,37,Maize
26.4,54.2,439,6.94,85,20,65,Wheat
28.6,72.7,591,6.04,66,68,50,Maize
27.0,56.7,508,6.66,96,46,59,Tomato
31.0,81.5,393,6.37,92,33,65,Rice
15.2,77.3,497,5.83,74,37,55,Potato
26.8,50.9,233,7.7,37,26,35,Chickpea
34.8,70.0,480,7.61,80,32,52,Cotton
21.4,50.8,226,7.86,32,28,30,Chickpea
32.5,38.9,391,7.09,46,46,22,Millet
21.1,61.2,488,6.79,87,75,58,Potato
22.1,53.5,429,6.7,33,34,56,Groundnut
23.8,67.0,457,6.19,62,33,63,Barley
29.4,66.8,417,6.99,47,65,62,Soybean
25.1,77.6,543,7.18,114,36,76,Maize
19.9,54.4,537,6.66,55,30,70,Wheat
13.0,47.8,307,7.41,88,27,59,Barley
21.8,45.0,329,6.79,36,35,52,Chickpea
15.2,61.8,513,6.15,74,42,60,Wheat
18.4,78.0,480,6.49,105,72,77,Potato
20.2,58.8,306,6.04,90,59,74,Maize
15.3,58.8,478,7.02,45,52,50,Wheat
27.1,74.1,404,6.13,65,57,76,Maize
16.8,69.8,541,6.04,52,32,28,Wheat
23.1,48.1,488,6.04,96,37,30,Maize
26.3,55.2,523,5.91,111,60,49,Maize
18.4,44.1,302,6.63,24,55,65,Chickpea
24.5,44.9,326,7.78,24,57,62,Chickpea
24.7,84.8,486,6.1,137,37,104,Sugarcane
22.8,48.6,215,6.91,24,33,69,Chickpea
23.7,83.3,312,6.24,76,80,93,Potato
28.4,80.0,624,6.0,61,32,41,Rice
18.2,71.2,426,6.53,95,47,46,Tomato
29.5,60.9,455,6.38,48,44,51,Soybean
31.5,51.7,368,7.14,93,31,59,Cotton
31.7,57.3,457,6.13,28,44,64,Groundnut
22.3,37.5,373,7.45,59,29,70,Chickpea
27.2,77.2,532,6.24,56,38,54,Tomato
17.9,82.9,420,6.62,68,50,81,Potato
22.7,56.8,201,7.18,41,42,52,Chickpea
29.4,63.9,398,6.99,29,48,49,Chickpea
21.3,70.7,361,6.53,113,67,79,Maize
24.8,43.7,402,6.03,45,30,52,Barley
26.7,56.0,428,7.37,21,35,69,Chickpea
26.8,72.1,460,7.49,30,65,41,Soybean
26.6,75.1,429,6.68,57,51,45,Soybean
26.4,62.5,305,6.56,25,36,47,Millet
16.4,84.1,413,5.76,107,70,106,Potato
14.0,53.3,453,6.9,67,29,50,Barley
31.0,51.8,313,6.17,47,57,45,Groundnut
28.6,56.2,354,6.4,57,30,39,Groundnut
20.9,46.0,282,7.23,46,27,56,Wheat
30.0,70.8,420,7.11,73,39,36,Maize
27.6,84.7,637,6.34,102,32,51,Rice
24.7,45.4,331,6.87,49,38,52,Groundnut
29.3,56.2,405,6.26,58,35,27,Chickpea
26.2,84.8,576,7.19,96,36,114,Sugarcane
31.8,85.9,534,7.33,123,62,68,Sugarcane
24.1,60.7,305,6.97,56,56,66,Groundnut
18.4,36.8,217,6.57,37,42,33,Chickpea
23.8,67.5,739,6.01,146,39,67,Sugarcane
27.9,46.2,480,6.98,48,52,65,Groundnut
29.2,67.6,322,5.99,109,35,47,Maize
23.5,35.4,267,6.62,62,22,59,Barley
23.7,72.4,308,6.48,62,31,70,Soybean
25.8,74.1,669,6.71,70,53,27,Rice
27.6,78.4,324,6.21,93,70,34,Maize
20.6,73.4,437,5.42,89,68,119,Potato
30.8,74.5,271,6.02,83,48,54,Cotton
20.4,78.7,423,6.72,70,54,62,Soybean
27.6,58.6,429,6.38,38,26,29,Millet
27.7,76.8,415,5.83,96,66,60,Maize
24.3,65.9,523,7.32,104,37,59,Sugarcane
26.9,52.2,391,6.34,52,49,50,Wheat
22.5,46.7,444,6.25,63,34,65,Maize
19.0,78.6,533,6.9,96,31,77,Tomato
26.9,61.6,455,6.52,46,46,66,Groundnut
24.5,62.7,385,7.14,41,36,46,Soybean
28.2,51.9,394,6.79,83,57,89,Cotton
16.9,61.6,402,6.09,106,71,50,Potato
20.8,55.5,535,6.25,70,40,50,Tomato
26.5,78.3,392,6.94,28,69,49,Soybean
24.4,45.4,551,6.74,85,58,63,Maize
22.8,47.0,393,6.19,81,24,58,Barley
23.9,62.2,606,6.36,131,49,76,Sugarcane
22.7,51.5,284,6.42,50,38,61,Groundnut
21.6,48.5,211,7.5,59,39,52,Chickpea
23.9,88.7,498,6.82,60,44,61,Rice
22.4,82.1,412,5.29,75,48,81,Potato
24.5,74.2,695,6.32,102,54,120,Sugarcane
23.0,48.0,433,6.32,54,29,36,Groundnut
28.4,75.8,511,6.47,56,60,54,Soybean
19.0,63.7,600,6.43,69,62,84,Potato
30.3,52.5,368,6.64,73,67,52,Maize
26.6,55.2,519,6.06,64,60,73,Maize
28.1,74.3,460,6.88,126,58,73,Sugarcane
23.6,79.5,544,5.36,78,78,83,Potato
21.6,69.8,345,6.6,51,39,84,Tomato
17.4,67.6,477,7.49,80,24,53,Barley
26.0,51.4,451,6.4,76,48,65,Cotton
24.7,62.6,543,6.42,41,39,36,Soybean
24.0,63.9,421,5.71,53,52,42,Groundnut
31.2,66.6,345,6.91,31,37,30,Groundnut
24.6,43.5,382,5.63,52,33,51,Millet
18.9,77.1,337,5.58,97,43,62,Potato
20.9,64.0,488,6.71,100,34,34,Wheat
24.6,43.4,238,6.48,51,41,47,Millet
29.6,74.2,590,6.54,51,41,71,Soybean
24.9,60.2,495,7.32,59,30,55,Cotton
26.0,67.8,342,6.11,21,41,54,Groundnut
24.1,47.2,450,6.54,58,42,52,Cotton
28.0,85.2,363,6.77,102,44,38,Rice
25.5,73.9,450,5.7,75,58,44,Tomato
23.7,57.3,408,5.69,44,51,55,Groundnut
26.7,58.6,414,6.83,27,60,57,Chickpea
24.5,66.1,397,6.06,20,48,44,Groundnut
25.9,55.1,522,5.85,55,69,42,Tomato
31.5,86.7,353,6.12,113,39,29,Rice
22.8,70.3,480,6.93,135,35,107,Sugarcane
26.8,64.3,323,6.52,92,57,56,Maize
19.6,36.2,264,6.32,87,41,57,Barley
22.1,68.3,447,6.38,51,32,47,Tomato
26.6,43.2,443,6.95,24,30,54,Chickpea
22.7,60.4,312,5.95,99,66,92,Tomato
29.6,84.8,693,6.51,102,48,88,Sugarcane
25.7,46.9,472,7.93,52,52,66,Cotton
20.7,65.7,365,6.97,82,67,31,Maize
25.5,75.6,734,7.33,147,67,92,Sugarcane
28.0,82.2,407,6.89,116,44,40,Rice
26.5,83.6,685,6.86,146,32,101,Sugarcane
37.9,52.5,257,6.11,97,52,58,Cotton
25.3,71.6,391,5.85,40,56,46,Groundnut
22.0,71.5,448,6.46,62,37,51,Soybean
18.6,78.9,383,6.8,105,43,102,Potato
29.7,60.4,315,6.76,47,26,32,Millet
21.7,67.1,303,7.3,59,53,52,Barley
28.8,62.8,583,6.5,97,41,55,Sugarcane
28.1,72.7,535,6.35,105,68,59,Sugarcane
27.2,90.6,482,5.75,68,42,32,Rice
30.6,67.0,564,7.01,96,61,43,Maize
26.5,78.4,544,5.92,120,51,41,Rice
29.3,68.7,514,6.79,71,58,52,Maize
27.0,53.8,287,6.83,43,46,66,Groundnut
26.2,94.1,431,6.72,119,45,37,Rice
30.1,61.6,556,6.36,138,69,95,Sugarcane
31.8,85.7,604,6.18,83,28,56,Rice
